UML_ID,Parent_Com,Mill_name,RSPO_STATU,RSPO_Type,Date,Latitude,Longitude,GPS,GPS_X,GPS_Y,ISO,Country,Province,District,Confidence,Alternativ,UML_ID_1
PO1000000017,Agropalma Group,Agropalma Group - Cpa Mill,Not RSPO Certified,,"43438",-2.25353900000,-48.58567000000,"-2.253539, -48.58567",-48.58567000000,-2.25353900000,BRA,Brazil,Pará,Acará,2 - High Confidence,,PO1000000017
PO1000000019,Epa Management Sdn Bhd,Kulim (Malaysia) Berhad - Sedenak Palm Oil Mill,RSPO Certified,"RSPO Certified, MB","43438",1.73085800000,103.53832300000,"1.730858, 103.538323",103.53832300000,1.73085800000,MYS,Malaysia,Johor,Johor Baharu,1 - Fully Verified,,PO1000000019
PO1000000020,Sime Darby Plantation Berhad,New Britain Palm Oil Ltd – Mosa,RSPO Certified,"RSPO Certified, IP","43438",-5.62250000000,150.23735000000,"-5.6225, 150.23735",150.23735000000,-5.62250000000,PNG,Papua New Guinea,West New Britain,Talasea,1 - Fully Verified,,PO1000000020
PO1000000021,Inti Indosawit Subur,Pt Inti Indosawit Subur - Buatan I,Not RSPO Certified,,"43438",0.43444440000,101.82500000000,"0.4344444, 101.825",101.82500000000,0.43444440000,IDN,Indonesia,Riau,Siak,2 - High Confidence,,PO1000000021
PO1000000052,Ioi Corporation Berhad,Pamol Estates (Sabah) Sdn Bhd - Pamol Sabah Palm Oil Mill,RSPO Certified,"RSPO Certified, IP","43438",6.00243100000,117.39838900000,"6.002431, 117.398389",117.39838900000,6.00243100000,MYS,Malaysia,Sabah,Labuk & Sugut,1 - Fully Verified,,PO1000000052
PO1000000053,Sipef Group,Hargy Palm Oil Mill - Sipef,RSPO Certified,"RSPO Certified, IP","43438",-5.31111100000,151.01097000000,"-5.311111, 151.01097",151.01097000000,-5.31111100000,PNG,Papua New Guinea,Bubu,Talasea,1 - Fully Verified,,PO1000000053
PO1000000054,Musim Mas,Pt. Musim Mas - Pks Batang Kulim,RSPO Certified,"RSPO Certified, IP","43438",0.07704300000,102.03083800000,"0.077043, 102.030838",102.03083800000,0.07704300000,IDN,Indonesia,Riau,Pelalawan,1 - Fully Verified,,PO1000000054
PO1000000058,Cargill Incorporated,Cargill - Hindoli,RSPO Certified,"RSPO Certified, IP","43438",-2.60810000000,104.12525000000,"-2.6081, 104.12525",104.12525000000,-2.60810000000,IDN,Indonesia,South Sumatra,Musi Banyuasin,2 - High Confidence,,PO1000000058
PO1000000063,Sime Darby,Binuang Oil Mill - Sime Darby,RSPO Certified,"RSPO Certified, IP","43438",4.70445700000,118.06018600000,"4.704457, 118.060186",118.06018600000,4.70445700000,MYS,Malaysia,Sabah,Lahad Datu,1 - Fully Verified,,PO1000000063
PO1000000064,Sime Darby,Merotai Oil Mill - Sime Darby,RSPO Certified,"RSPO Certified, MB","43438",4.36934700000,117.83290500000,"4.369347, 117.832905",117.83290500000,4.36934700000,MYS,Malaysia,Sabah,Tawau,1 - Fully Verified,,PO1000000064
